0,1,2,3,4,5,6,7,8,9,10,11,label_list
-378.56287,64.11193,-56.815857,-23.819674,-25.97044,-23.923975,-22.850641,-16.96195,-17.770706,-16.103083,-13.194684,-9.934724,Trombone
-299.84653,171.48581,-67.063255,31.610025,-6.439918,-13.6953335,-21.80495,-19.105515,-10.690824,-9.43228,-17.038414,-5.0627255,French horn
-273.99545,-24.769262,-40.57588,-14.348162,-38.159973,-7.821725,-24.87844,-10.688063,-12.952185,-6.292155,-12.959389,-7.395941,Trombone
-438.1412,151.8393,37.301105,24.950106,-18.143791,-27.56434,-11.425448,-16.658848,-3.818694,0.55464417,-22.375854,-4.751468,French horn
-446.88354,92.40511,1.8027842,-14.635609,-35.202602,-33.184807,-27.096191,-27.520306,-12.470867,-11.3018675,-21.54651,-8.698571,French horn
-337.04218,91.44363,-75.08135,0.30830038,-18.4225,-18.17912,-10.735739,-8.485608,-8.599098,-6.901433,-6.5652328,-9.1495075,Trombone
-463.43228,97.8438,19.03942,-10.147518,-41.96496,-34.647953,-15.21407,-18.90741,-7.613375,-7.226357,-19.887608,-5.9927487,French horn
-246.45586,92.71748,-61.91537,3.5284193,-26.386976,2.7950337,-16.744759,-2.9899015,-5.788069,-1.3300325,-5.846036,0.9946191,Trombone
-361.49234,200.26715,21.606592,-2.857651,-18.42639,-13.48617,-3.8400588,-11.744911,-6.631074,2.2746198,-3.8097155,0.010144382,Trombone
-254.23236,36.71081,-29.915697,-24.09532,-24.013752,-22.669603,-38.314743,-8.942479,-11.833395,-7.1319323,-20.409575,-8.167022,French horn
-409.82175,82.939064,-37.08313,-40.701645,-16.376509,-30.309998,-23.392078,-16.412489,-20.027536,-14.398285,-13.760614,-8.898679,Trombone
-288.2063,40.95154,-43.263073,8.826757,-25.415413,-29.805323,-29.294489,-22.456211,-27.478891,-2.4897664,-20.004179,-5.4136477,French horn
-488.13672,136.93419,34.62479,0.6997826,-31.669785,-26.072704,-10.033652,-22.944456,-14.053917,-8.2612295,-19.708715,-4.24552,French horn
-397.73154,215.05579,50.85154,33.927578,-5.846791,-17.03872,-3.977753,-23.716444,-4.161261,-1.8930277,-23.551723,3.7298405,French horn
