0,1,2,3,4,5,6,7,8,9,10,11,label_list
-659.2163,18.278786,-12.107536,44.013153,-13.154768,5.019222,-5.3965406,-3.0830836,-9.133388,-5.5694675,-11.617992,11.489901,Violin
-533.8738,33.250694,-24.455145,43.151917,-25.093418,-10.435495,-19.112411,-15.169186,-7.70408,-8.938352,-1.8196654,16.766113,Violin
-468.43643,11.820848,-19.447367,33.7443,-24.006926,-10.317425,-12.795439,-13.549147,-10.402909,-10.476334,-5.6651044,14.598053,Violin
-594.96625,10.194246,-8.782218,40.609173,-10.718865,0.2917259,-3.6248019,-6.048359,-7.3049226,-6.2395816,-8.779635,13.58645,Violin
-635.0711,58.709858,-32.57455,46.42697,-21.101156,1.9646598,-16.300379,-8.601916,4.49819,-1.8299215,-6.8884916,6.8071465,Violin
-546.1523,9.38664,-9.39992,31.609869,-12.110535,-8.993814,4.0996413,-2.1569562,-6.0167994,-10.955101,-21.325438,4.5193515,Violin
-488.71835,2.1946557,-8.591163,30.442078,-17.679491,-6.559758,-12.028634,-6.544478,-10.702338,-6.519591,-11.711705,13.481901,Violin
-649.11066,55.25432,-27.460531,46.05078,-7.4645634,3.0782464,-9.98337,-7.213204,-0.44351646,3.9103553,-15.70576,5.1880293,Violin
-644.1438,45.394127,-26.218279,47.489986,-21.186073,-3.324762,-8.511517,-7.620968,-12.971191,-10.1058855,-6.2372036,16.477451,Violin
-457.2937,1.2031891,-11.023632,18.722836,-10.570125,-9.542708,2.6288311,-2.3074481,-7.409573,-13.736541,-19.861046,5.6503034,Violin
-575.06274,30.609835,-20.909407,45.449406,-18.78397,-1.7950928,-7.907162,-7.239776,-12.635664,-9.8379345,-7.957312,18.522638,Violin
-469.09772,15.355751,-30.924551,24.518328,-6.310635,-2.2856922,-15.173566,-5.1155767,2.0150702,-8.617798,-22.078857,9.887667,Violin
-658.91046,49.35305,-18.66054,35.158348,-18.469494,-1.1533996,2.1740565,14.830577,-0.6033124,-17.283445,-16.74551,22.532076,Violin
-643.23724,24.309267,-11.295129,35.80185,-14.862523,0.97927517,1.5748578,7.6815696,-8.804697,-9.842453,-19.03561,7.0347357,Violin
-508.40793,37.428123,-41.37789,51.15003,-25.525282,-5.917417,-21.783638,-8.883204,-5.8653398,-12.124643,-15.16324,0.36575782,Violin
-477.85602,6.6522665,-8.701288,31.202892,-13.421351,-7.332175,-17.672686,-11.270039,-5.747725,-2.4111128,2.9074128,14.53761,Violin
-645.4251,50.214844,-27.008884,48.358597,-15.0264,-0.5919849,-11.1580305,-1.6307081,2.6282425,4.4691215,-12.518104,-2.392964,Violin
-459.17023,15.950761,-17.285164,33.601463,-20.165741,-9.988534,-17.306438,-10.451103,-10.486096,-2.481763,8.455191,20.423708,Violin
