scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-9.8562374e-08,5.1791975e-08,1.4261153e-07,2.546358e-07,3.859895e-07,5.072111e-07,6.2856543e-07,8.1255246e-07,9.653598e-07,1.1959046e-06,French horn
8.070336e-07,-4.486818e-07,-1.3130161e-06,-2.3854996e-06,-3.5922294e-06,-4.839134e-06,-6.146819e-06,-7.703814e-06,-9.191046e-06,-1.0724624e-05,French horn
-3.685361e-10,1.6414342e-10,5.8951927e-10,1.2939921e-09,1.954572e-09,2.2462479e-09,2.2090243e-09,2.403906e-09,2.2767326e-09,2.6255391e-09,French horn
-3.7598554e-08,1.4336621e-08,3.783925e-08,7.546244e-08,1.2001902e-07,1.5937364e-07,1.6955354e-07,2.2987838e-07,1.7370553e-07,2.9109142e-07,French horn
6.960761e-09,-4.4129145e-09,-1.2359788e-08,-2.2970182e-08,-3.7452097e-08,-5.3787655e-08,-7.402433e-08,-9.4848666e-08,-1.28314e-07,-1.5788373e-07,French horn
-9.161568e-09,4.5534232e-08,1.5564744e-07,2.5599803e-07,3.4221702e-07,5.1942436e-07,7.7518183e-07,8.393697e-07,1.159874e-06,1.1306142e-06,French horn
2.38876e-09,1.8294639e-09,6.3273733e-09,8.335669e-09,9.470576e-09,2.3819162e-08,5.3675542e-08,7.3003136e-08,1.255046e-07,1.4224496e-07,French horn
-3.3557026e-07,1.6850969e-07,4.69803e-07,8.585602e-07,1.3121177e-06,1.7202359e-06,2.1367189e-06,2.7396966e-06,3.2794844e-06,3.9024244e-06,French horn
5.4681465e-07,-2.5322066e-07,-6.9871834e-07,-1.296641e-06,-1.999317e-06,-2.5934394e-06,-3.1168076e-06,-4.1391554e-06,-4.711395e-06,-5.932022e-06,French horn
-4.1819455e-08,2.117683e-08,6.268018e-08,1.1378272e-07,1.7522147e-07,2.2956775e-07,2.6810554e-07,3.214417e-07,3.6369357e-07,4.39e-07,French horn
-4.88421e-07,2.7814096e-07,7.9971335e-07,1.4388584e-06,2.1705994e-06,2.924238e-06,3.7498396e-06,4.701408e-06,5.839394e-06,6.913426e-06,French horn
5.1002075e-07,-2.5463186e-07,-7.0881384e-07,-1.288361e-06,-1.954021e-06,-2.5596023e-06,-3.146406e-06,-4.1191274e-06,-4.780458e-06,-5.851185e-06,French horn
8.027822e-09,-3.2968341e-09,-9.235912e-09,-1.846458e-08,-2.9125818e-08,-3.4755267e-08,-3.984524e-08,-5.302129e-08,-6.575406e-08,-8.654373e-08,French horn
-1.244192e-07,6.6400936e-08,1.9083835e-07,3.447346e-07,5.159108e-07,6.642849e-07,7.768398e-07,9.4170315e-07,1.0571649e-06,1.2779692e-06,French horn
-2.3174955e-07,7.291333e-08,1.8983661e-07,3.8716007e-07,6.2945855e-07,7.75066e-07,9.0729776e-07,1.4074002e-06,1.6632083e-06,2.3133477e-06,French horn
-1.5920189e-07,7.324437e-08,2.0608071e-07,3.897766e-07,6.093641e-07,8.12045e-07,1.0188895e-06,1.3628628e-06,1.6454809e-06,2.0961024e-06,French horn
-2.2191657e-09,7.314047e-10,2.6185354e-09,5.001729e-09,7.771357e-09,9.7862065e-09,1.13922e-08,1.5702014e-08,1.6558417e-08,2.1702268e-08,French horn
-3.2812877e-09,1.7815956e-09,5.052869e-09,9.220022e-09,1.3803176e-08,1.8085482e-08,2.2010694e-08,2.7061233e-08,3.112753e-08,3.6857084e-08,French horn
-4.2039414e-07,2.0625558e-07,5.7687083e-07,1.0520002e-06,1.6055603e-06,2.1037579e-06,2.6000353e-06,3.3658184e-06,3.976916e-06,4.7212784e-06,French horn
2.0981426e-08,-1.134597e-08,-3.205113e-08,-5.700309e-08,-8.61642e-08,-1.16643186e-07,-1.4729001e-07,-1.9152596e-07,-2.3297272e-07,-2.8920687e-07,French horn
1.4255278e-07,-2.9585159e-09,2.713589e-08,-3.7250295e-08,-2.3625869e-07,-6.6097147e-07,-1.429174e-06,-2.248253e-06,-1.7806913e-06,-8.664611e-07,French horn
-4.91856e-10,2.8764855e-11,-1.5450153e-12,7.109338e-10,1.5553892e-09,1.9890034e-09,2.507494e-09,3.815828e-09,3.4903076e-09,4.0755284e-09,French horn
7.589896e-07,-3.8678203e-07,-1.0987076e-06,-2.0314142e-06,-3.1562436e-06,-4.3125583e-06,-5.599418e-06,-7.3174137e-06,-8.998604e-06,-1.0897858e-05,French horn
7.2724805e-07,-3.3164343e-07,-8.6092257e-07,-1.4680627e-06,-2.3489463e-06,-3.7018233e-06,-5.8175474e-06,-8.811396e-06,-1.1687037e-05,-1.4640322e-05,French horn
3.938071e-10,-9.6001124e-11,-6.4161604e-10,-1.2932994e-09,-2.1788413e-09,-2.8922684e-09,-4.2283954e-09,-5.156009e-09,-7.766422e-09,-9.437482e-09,French horn
6.861565e-08,-3.202665e-08,-9.2341914e-08,-1.7389297e-07,-2.681905e-07,-3.5675868e-07,-4.5426245e-07,-6.095787e-07,-7.49541e-07,-9.158706e-07,French horn
5.670944e-08,-2.371097e-08,-6.404548e-08,-1.276679e-07,-2.092111e-07,-2.817392e-07,-3.5195632e-07,-4.7820174e-07,-5.932875e-07,-7.559597e-07,French horn
-4.314508e-09,2.311271e-09,5.948561e-09,1.1057883e-08,1.7232164e-08,2.2674142e-08,2.7894346e-08,3.6298395e-08,4.2094513e-08,5.123207e-08,French horn
-2.8830147e-09,1.6338467e-09,4.6664916e-09,8.044558e-09,1.1721238e-08,1.5375555e-08,1.9161583e-08,2.4499538e-08,2.8651794e-08,3.412893e-08,French horn
2.7561344e-07,-1.7271338e-07,-4.931327e-07,-8.638121e-07,-1.2671119e-06,-1.6830318e-06,-2.1209214e-06,-2.6061937e-06,-3.0560816e-06,-3.4099141e-06,French horn
-1.3327208e-07,7.155398e-08,1.9946562e-07,3.549704e-07,5.303304e-07,7.031576e-07,8.6692785e-07,1.137604e-06,1.3015514e-06,1.6271313e-06,French horn
