spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,label_list
21.656622643323672,35.397844536644385,31.94270757486938,30.16026163472704,29.627132954231058,25.90875313880627,18.54116649982455,Trombone
27.61656380735078,24.30929841940706,25.090233702570107,21.232121383517295,21.424700202932208,24.26079281401614,18.598628780901677,French horn
19.927517664846857,31.13044010923602,32.975019059811025,29.608421005777746,29.26366341835981,26.768487600286544,26.223951889310285,Trombone
20.629371647879687,29.101535951997835,29.44630482837079,27.45776190433409,19.570428388649248,22.373788484219272,17.952673912290052,French horn
16.012245459055936,16.149660966083797,35.156251345313194,34.49954756513203,25.024973790352817,23.65733802876721,19.57078114976768,French horn
33.05659812584557,27.048985294516,26.999854333157053,25.654130452743782,26.105234178830006,24.64015925029364,17.62705906526647,Trombone
17.734064603073353,14.594614315142747,35.42799576722296,35.34309802888884,21.665091031325076,26.68798948411067,21.495886449275844,French horn
29.23875275766072,21.012539333924842,22.0178124088537,20.247380481084807,19.89581683922202,17.494441259485484,18.756176946300215,Trombone
27.748501408716237,19.9883068805104,22.66918344668334,23.976979377455105,19.707230086627202,18.853704879532987,15.068939807714724,Trombone
16.739860140642133,14.459760079464065,35.12725107043224,33.573495990270516,31.16825472288532,29.843674043638988,27.308819398940944,French horn
22.325521297667727,36.37642249519603,32.32355479080183,30.938465670508275,28.93684346566588,22.561176449758452,18.382725215428533,Trombone
17.578469353861074,31.355291473796758,29.9787708069422,29.25755494131479,27.406762202929716,28.704408151306026,23.586138326829488,French horn
13.27484366168129,30.39911492812269,28.572306825569054,29.02737280530712,21.092477856847367,25.79607147095836,20.95090743773045,French horn
24.339378707633067,19.801170031636918,23.173580723819168,22.10955455910568,17.440766412006983,20.978712637703513,15.120035985284037,French horn
18.71943188205664,32.24422173346512,32.85094650329424,29.898109891105126,27.609421892268436,26.880064965508524,24.71296087089596,French horn
29.242445178130886,28.907303702906017,27.34380830797445,24.699478501293516,24.41464821440397,25.10420649688982,17.667898665719424,French horn
28.41846065945257,29.489404071348403,25.268864852944837,26.23724817840628,21.586832561285565,14.164480888813896,13.667455617491251,French horn
16.966064727087673,30.262522294422823,30.63805062617815,30.024893129229937,28.38546156181955,28.402909999937314,25.231005575281237,French horn
14.232699447282952,29.643547585755332,29.989927489821493,30.893630020464467,24.098750589147993,25.60746790405251,21.669525680238074,French horn
19.354604578969305,32.19879036701936,32.282716472552416,30.869079771240852,27.97491451020192,27.323329672394095,25.25387473427164,French horn
17.103963495009125,29.564296711948163,31.53028608345343,30.096010644688473,30.310522140224638,30.615252709138097,24.436226752979213,French horn
24.90688826353013,23.053999356968383,24.726490086102164,23.687426491194234,22.983741315763137,19.83634877318948,15.904016461612047,French horn
30.61134429967477,27.809207190793796,28.348119213424084,27.666281148763506,23.621969480777693,22.59643222510925,18.91590341257702,French horn
22.720791182234127,20.288268641553497,23.47543993070945,26.22416166218769,18.918440744457396,19.182442625131173,15.598857962556867,French horn
13.475505497558176,31.599772082605583,27.81159989000939,29.403936082152306,22.49479939324832,25.706165157605792,21.005121132404117,French horn
23.994201480988266,20.000412502835374,22.581269076597113,23.850859148134894,17.72587506747686,20.578164055643107,16.799736522942197,French horn
26.235396257704018,28.002753654181475,24.44718803505863,23.557402662918253,18.097527211362895,20.29458697892544,16.562791151548865,French horn
22.714072794572076,17.943441737759574,22.371439819137212,24.35491564462651,17.005110848478978,18.481735621109763,14.807013644175763,French horn
28.1230776558922,28.792020646362353,26.44629398616676,24.896045461566512,24.354972854070816,24.612196693563895,18.472075693494233,French horn
29.147163586738625,27.47840772694365,24.817923173875208,25.96180384968797,24.52321305138767,19.313999932654294,17.900284767122024,French horn
18.430863899779904,10.81116420978897,34.3534922014317,35.369715653062606,30.464772285833057,28.654867342269966,21.114883743152973,French horn
24.86673722422913,31.53320461847035,27.846550572230953,27.662735808981253,24.112870739688738,15.973430244209812,14.26707039410573,French horn
14.34794012155662,29.945422101924887,30.724621563966856,28.46811107790328,23.394992765836697,23.30229982465344,21.56766523254938,French horn
25.26925308434109,18.59296594109042,23.505594021313502,25.758075980205923,17.85211048639502,19.38865268168255,16.865060944444927,French horn
14.026401089062057,10.825140880625678,35.06753715725314,24.83382494030391,26.209667278644567,22.383950662856254,21.2558172380648,French horn
23.62615297438771,17.985803821666,22.181962947594,23.069527769883788,18.17586985981884,19.983035573476695,16.431372950327088,French horn
13.416291130101627,31.280103712218203,28.463858975929444,30.72909616517558,21.125480552834883,24.831204111373797,21.841912171903466,French horn
28.044575041061233,27.626572246865646,26.139605194742913,22.756678787816437,17.389203049380686,21.58783872499887,17.21869633011706,French horn
29.532103734314664,25.831040738925015,25.767287284251,24.86618650564094,23.647374293397984,24.912656193459423,18.255477282990654,French horn
14.822427732661836,11.484643339204455,33.00275934432366,31.756166261945896,22.27510950945425,24.68562386506239,20.27028294215882,French horn
28.31099639193625,26.448797869067263,26.48988769262814,25.33207938815422,22.076224517034657,21.412479627946077,16.628804427179517,French horn
25.611972221444827,20.693485148082413,24.520898279079816,21.965957019672818,20.214313058275913,21.667146113718854,17.462363535808997,French horn
30.27287987634675,28.70468967885415,27.368988003107475,27.442287902948877,23.940880422013,22.14968599213384,17.380345569453894,French horn
14.979511149330204,11.118785942576919,35.89792795154762,29.217154206460954,29.27603487460762,24.19689098674362,20.504249911623262,French horn
14.098153250874558,28.34022681465703,27.805929244134628,26.350212296174085,21.129927146524093,24.41487076431368,19.41929864287477,French horn
