scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-2.674419e-11,4.4651127e-11,5.5076246e-11,2.6381322e-11,2.7486494e-10,5.3686483e-10,-3.143956e-10,-1.9976252e-09,-3.9576733e-09,-2.9410756e-09,Bassoon
-8.2939417e-13,-2.795353e-11,2.6812065e-11,-7.182759e-11,2.28352e-10,4.578878e-10,7.461193e-10,7.0908435e-10,1.645537e-10,-8.062832e-10,Bassoon
2.5016697e-13,1.0397049e-11,-5.415374e-11,6.5547806e-12,1.0118674e-10,1.3532751e-10,1.8530863e-10,2.3595215e-10,5.1919863e-10,6.389817e-10,Bassoon
1.34532585e-11,-3.5475636e-11,9.4507145e-12,-2.1653176e-11,-1.2984638e-10,-1.1214815e-10,-1.8948022e-11,-3.9299423e-12,1.0692153e-10,8.8496654e-11,Bassoon
-1.4471645e-11,4.0737032e-11,6.564016e-11,3.9053684e-11,-1.9833694e-11,-2.1030724e-10,-4.6298743e-10,-3.7089068e-10,-3.727516e-10,-1.7631835e-10,Bassoon
1.43950095e-11,-2.0302045e-11,-4.9751217e-11,-4.2034203e-11,-2.1933066e-11,-1.8728729e-11,1.0291864e-11,1.9996253e-11,2.6504797e-11,2.3046703e-12,Bassoon
5.9538973e-13,2.055857e-11,2.1074633e-11,-5.360114e-11,-9.6824236e-11,-1.0480884e-10,-1.5860553e-10,-2.1031406e-10,-3.3652467e-10,-4.007658e-10,Bassoon
-1.4827443e-11,-6.948443e-13,4.9011673e-11,5.3967327e-11,3.8700737e-11,7.410868e-11,1.3698986e-10,1.7220794e-10,1.8505572e-10,1.623291e-10,Bassoon
5.484373e-13,2.051691e-11,-9.035713e-13,-8.59952e-11,-4.9558257e-11,5.4298827e-12,4.1899564e-11,4.3387665e-11,3.7181883e-11,-9.354729e-11,Bassoon
-7.2019295e-13,-2.2721625e-11,-2.0265538e-11,1.3516945e-10,1.407231e-10,1.6546083e-10,1.6694343e-10,1.8556144e-10,3.637748e-10,2.6498448e-10,Bassoon
-2.7587944e-13,-1.5598287e-11,4.9921187e-12,-5.670789e-12,-6.085873e-11,-1.7946042e-10,-1.5242362e-10,5.5003845e-11,1.8840976e-10,3.932339e-10,Bassoon
1.6197649e-11,-5.493026e-12,-9.0071756e-11,-1.0371326e-10,-6.133846e-11,4.190009e-11,1.1412807e-10,1.3156459e-10,4.0691835e-11,2.6946423e-11,Bassoon
-7.2706977e-13,-2.7891852e-11,2.5424694e-11,2.6248795e-11,5.545048e-13,2.5486904e-11,6.3295084e-11,9.3569236e-11,1.8916717e-10,2.659697e-10,Bassoon
2.37547e-13,9.28873e-12,-2.935553e-11,-4.6419687e-12,1.6338708e-11,-9.097712e-12,1.180784e-10,2.8921948e-10,3.1338057e-10,2.3823366e-10,Bassoon
1.1147639e-12,4.171322e-11,1.9108319e-11,-1.1467838e-10,-1.8038451e-10,-1.4504409e-10,-7.43957e-11,-3.8521457e-11,-3.275282e-11,-9.0265614e-11,Bassoon
1.5865417e-11,1.633251e-11,-8.7749454e-11,-1.0188176e-10,-4.7173467e-11,-7.9199085e-11,-1.9887596e-10,-2.8083588e-10,-3.656489e-10,-3.7798217e-10,Bassoon
1.5698545e-11,-3.262683e-11,-1.2984125e-11,-1.0100439e-10,-5.498962e-11,3.848713e-12,2.3022025e-10,3.822562e-10,1.8951085e-10,-5.8184846e-10,Bassoon
1.493278e-11,-7.424242e-12,-2.5074377e-11,-1.06359e-10,-2.4617892e-12,2.6453075e-13,3.523903e-10,8.3719043e-10,8.7024254e-10,1.0469303e-10,Bassoon
-3.41654e-13,-1.2121642e-11,-3.936956e-11,1.8462381e-11,1.2030132e-10,1.52278e-10,7.69917e-11,-4.0557033e-11,-7.0218435e-11,7.8477416e-12,Bassoon
1.4626692e-11,-2.0506324e-11,-4.5253145e-11,-6.190403e-11,-3.316489e-11,2.5683341e-11,8.5733254e-11,1.0194335e-10,8.27813e-11,-1.6908274e-12,Bassoon
-4.731713e-15,6.1219015e-13,-2.7027926e-12,-1.4730725e-11,4.6719913e-11,1.2203903e-10,1.3986379e-10,9.065499e-11,9.9447374e-11,7.899326e-11,Bassoon
-8.8207057e-13,-3.052374e-11,1.3356812e-11,3.9461125e-11,1.0033732e-10,2.0624231e-10,5.5620075e-10,1.0145186e-09,1.8068728e-09,2.1356164e-09,Bassoon
-1.4516619e-11,5.2797638e-11,9.538752e-12,9.96256e-13,-4.270169e-12,4.015072e-11,9.7234755e-11,1.09039e-10,1.7853534e-10,2.1827942e-10,Bassoon
-2.0122033e-13,-6.7920166e-12,1.0551823e-11,4.6250906e-11,-3.1134168e-11,-1.0108381e-10,5.919713e-12,1.3327059e-10,3.1778027e-10,3.3916553e-10,Bassoon
-1.564196e-13,1.3620418e-12,3.238687e-11,-2.4306963e-11,1.484492e-10,3.8730455e-10,5.3890015e-10,2.0043936e-10,1.3900518e-10,2.6896615e-10,Bassoon
9.946692e-13,3.3125853e-11,-5.4801016e-12,-1.0146029e-10,-3.8543965e-10,-6.5943e-11,5.5477056e-10,8.32186e-10,3.3996325e-10,-1.261907e-10,Bassoon
-2.7261912e-15,-1.0921724e-12,6.8361215e-12,-1.579944e-12,-4.6587467e-11,-5.760294e-11,-3.4752244e-13,6.3606974e-11,1.1706539e-10,1.4756207e-10,Bassoon
-1.4926919e-11,-8.584276e-12,5.7481093e-11,6.190448e-11,3.7628133e-11,1.4892737e-10,1.5964223e-10,-2.2934337e-11,8.264185e-11,2.0830765e-10,Bassoon
